               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.036693,            0.019636,           0.0024096,             0.79861,              0.8629,             0.88685,             0.48993,            0.037833,             0.01027,           0.0021179,           0.0060982,           0.0060982,           0.0060982
                  69,            0.034956,            0.018462,           0.0032011,             0.82075,             0.85678,             0.89453,             0.53527,            0.041365,           0.0099438,           0.0018952,             0.00604,             0.00604,             0.00604
                  70,            0.040212,            0.020611,           0.0030199,             0.90334,             0.82118,             0.91828,             0.49532,            0.040642,            0.009743,           0.0018106,           0.0059818,           0.0059818,           0.0059818
                  71,            0.040563,            0.020196,           0.0023924,              0.9543,             0.87565,             0.94153,             0.53517,            0.039444,           0.0094613,           0.0018255,           0.0059235,           0.0059235,           0.0059235
                  72,            0.036685,            0.018454,           0.0031561,             0.85408,             0.87217,             0.91168,             0.50532,            0.042373,           0.0096225,           0.0017396,           0.0058653,           0.0058653,           0.0058653
                  73,            0.041872,            0.019042,           0.0025552,             0.89434,             0.81699,             0.93009,             0.58405,            0.036236,           0.0098495,           0.0016263,           0.0058071,           0.0058071,           0.0058071
                  74,            0.037076,            0.020132,           0.0029596,             0.78619,             0.87261,             0.91831,             0.48353,            0.039144,            0.010109,           0.0016037,           0.0057488,           0.0057488,           0.0057488
                  75,             0.04396,            0.018144,           0.0031719,             0.79863,              0.8478,              0.8991,              0.5564,             0.03642,             0.01003,           0.0016525,           0.0056906,           0.0056906,           0.0056906
                  76,            0.032939,             0.01802,           0.0020822,             0.75818,             0.88117,             0.89232,             0.50742,            0.040424,            0.010188,           0.0016652,           0.0056324,           0.0056324,           0.0056324
                  77,            0.034788,            0.019108,           0.0021793,             0.79648,               0.915,             0.91732,             0.52368,            0.039318,            0.010081,           0.0017393,           0.0055741,           0.0055741,           0.0055741
                  78,            0.038978,            0.020016,           0.0021203,             0.75129,             0.86412,             0.88617,             0.49293,             0.03961,            0.010278,           0.0018046,           0.0055159,           0.0055159,           0.0055159
                  79,            0.036067,            0.021046,           0.0025106,             0.81124,               0.844,             0.86876,              0.5231,            0.039739,            0.010054,           0.0020243,           0.0054576,           0.0054576,           0.0054576
